"id","name","country","region","rss_url","status","error","checked_at","classification","action"
"38","Infochannel","México","América do Norte","https://infochannel.info/feed/","error","ReadTimeout","2026-09-14T21:13:00.559474+00:00","temporario_rede_ou_servidor","Retestar na retomada autorizada com backoff. Preservar URL e identidade."
"52","RCR Wireless News","Estados Unidos","América do Norte","https://rcrwireless.com/feed","error","http_403","2026-09-14T21:13:15.023034+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"72","VentureBeat","Estados Unidos","América do Norte","https://venturebeat.com/feed","error","http_429","2026-09-14T21:13:36.271384+00:00","temporario_limite_http","Respeitar Retry-After e backoff. Não forçar tentativas nem repor a fonte."
"118","La Gaceta de Panamá","Panamá","América Central e Caribe","https://www.lagacetadepanama.com/rss/","error","http_403","2026-09-14T21:14:15.911501+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"142","Soy502","Guatemala","América Central e Caribe","https://www.soy502.com/rss.xml","error","invalid_or_malformed_feed","2026-09-14T21:14:40.69144+00:00","xml_ou_resposta_invalida","Inspecionar resposta e XML do endpoint oficial. Não concluir que o veículo é inválido."
"157","BASIC thinking","Alemanha","Europa Ocidental","https://www.basicthinking.de/blog/feed/","error","ConnectionError","2026-09-14T21:14:59.780895+00:00","temporario_rede_ou_servidor","Retestar na retomada autorizada com backoff. Preservar URL e identidade."
"197","MuyComputer","Espanha","Europa Ocidental","https://www.muycomputer.com/feed/","error","http_500","2026-09-14T21:15:41.892642+00:00","temporario_rede_ou_servidor","Retestar na retomada autorizada com backoff. Preservar URL e identidade."
"207","Silicon Republic","Irlanda","Europa Ocidental","https://www.siliconrepublic.com/feed/","error","http_403","2026-09-14T21:15:49.95387+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"227","AIN","Ucrânia","Europa Oriental (Leste Europeu)","https://ain.ua/feed/","error","http_403","2026-09-14T21:16:14.914148+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"253","GSMmaniak","Polônia","Europa Oriental (Leste Europeu)","https://www.gsmmaniak.pl/feed/","error","ConnectTimeout","2026-09-14T21:16:39.997856+00:00","temporario_rede_ou_servidor","Retestar na retomada autorizada com backoff. Preservar URL e identidade."
"262","Keddr","Ucrânia","Europa Oriental (Leste Europeu)","https://keddr.com/feed/","error","http_403","2026-09-14T21:16:47.822327+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"264","Kursors.lv","Letônia","Europa Oriental (Leste Europeu)","https://kursors.lv/feed/","error","http_403","2026-09-14T21:16:48.75862+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"284","Rozetked","Rússia","Europa Oriental (Leste Europeu)","https://rozetked.me/rss.xml","error","ChunkedEncodingError","2026-09-14T21:17:00.111654+00:00","temporario_rede_ou_servidor","Retestar na retomada autorizada com backoff. Preservar URL e identidade."
"294","TECHBOX","Eslováquia","Europa Oriental (Leste Europeu)","https://www.techbox.sk/feed","error","ConnectTimeout","2026-09-14T21:17:14.397739+00:00","temporario_rede_ou_servidor","Retestar na retomada autorizada com backoff. Preservar URL e identidade."
"301","36Kr","China","Ásia (Leste Asiático e Sudeste Asiático)","https://36kr.com/feed","error","invalid_or_malformed_feed","2026-09-14T21:17:19.313761+00:00","xml_ou_resposta_invalida","Inspecionar resposta e XML do endpoint oficial. Não concluir que o veículo é inválido."
"363","TechWeb","China","Ásia (Leste Asiático e Sudeste Asiático)","https://www.techweb.com.cn/rss/all.xml","error","non_public_destination","2026-09-14T21:18:15.643296+00:00","bloqueio_seguranca_destino","Verificar DNS e endpoint público oficial. Não desabilitar proteção de destino."
"377","Arab News — Science & Technology","Arábia Saudita","Oriente Médio","https://www.arabnews.com/taxonomy/term/46/all/feed","error","http_403","2026-09-14T21:18:30.776492+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"394","Enterprise Channels MEA","Emirados Árabes Unidos","Oriente Médio","https://www.ec-mea.com/feed/","error","SSLError","2026-09-14T21:18:47.097495+00:00","tls","Verificar cadeia de certificado e URL oficial. Manter verificação TLS."
"439","The National — Technology","Emirados Árabes Unidos","Oriente Médio","https://www.thenationalnews.com/arc/outboundfeeds/rss/category/business/technology/?outputType=xml","error","invalid_empty_feed_or_entries","2026-09-14T21:20:20.867257+00:00","feed_vazio","Validar categoria e endpoint oficial. Feed vazio não prova encerramento do veículo."
"440","Times of Israel — Tech Israel","Israel","Oriente Médio","https://www.timesofisrael.com/topic/tech-israel/feed/","error","http_403","2026-09-14T21:20:21.351438+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"484","PC Tech Magazine","Uganda","África","https://pctechmag.com/feed/","error","http_403","2026-09-14T21:20:54.816808+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"494","Techawk","Nigéria","África","https://www.techawkng.com/feed/","error","http_403","2026-09-14T21:20:59.721812+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"497","TechCabal","Nigéria","África","https://techcabal.com/feed/","error","http_403","2026-09-14T21:21:01.116549+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"512","TechTrendsKE","Quênia","África","https://techtrendske.co.ke/feed/","error","ConnectTimeout","2026-09-14T21:21:18.86358+00:00","temporario_rede_ou_servidor","Retestar na retomada autorizada com backoff. Preservar URL e identidade."
"513","TechWeez","Quênia","África","https://techweez.com/feed/","error","http_403","2026-09-14T21:21:19.327869+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"527","APDR","Austrália","Oceania","https://asiapacificdefencereporter.com/feed/","error","http_403","2026-09-14T21:21:26.356717+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"539","Cook Islands News","Ilhas Cook","Oceania","https://www.cookislandsnews.com/feed/","error","http_403","2026-09-14T21:21:34.54721+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"573","PowerUp!","Austrália","Oceania","https://powerup-gaming.com/feed/","error","http_403","2026-09-14T21:21:53.948823+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"587","techAU","Austrália","Oceania","https://techau.com.au/feed/","error","ConnectTimeout","2026-09-14T21:22:12.64022+00:00","temporario_rede_ou_servidor","Retestar na retomada autorizada com backoff. Preservar URL e identidade."
"597","The National PNG","Papua-Nova Guiné","Oceania","https://www.thenational.com.pg/feed/","error","http_403","2026-09-14T21:22:18.975175+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
"675","Techstrong AI","Estados Unidos","América do Norte","https://techstrong.ai/feed/","error","http_403","2026-09-14T21:22:26.525051+00:00","bloqueio_http","Validar acesso permitido e endpoint oficial. Não contornar bloqueio nem substituir sem validação editorial."
