id,name,country,region,rss_url,status,error,checked_at,classification,action
"38","Infochannel","México","América do Norte","https://infochannel.info/feed/","error","ReadTimeout","2026-09-14 22:29:32.082764+00","temporario_rede_ou_servidor","Retentar pelo coletor com backoff e preservar checkpoints; confirmar recorrência antes de alterar URL."
"52","RCR Wireless News","Estados Unidos","América do Norte","https://rcrwireless.com/feed","error","http_403","2026-09-14 22:29:32.669353+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"72","VentureBeat","Estados Unidos","América do Norte","https://venturebeat.com/feed","error","http_429","2026-09-14 22:29:33.254529+00","temporario_http_429","Respeitar Retry-After e backoff; não contornar bloqueio nem substituir definitivamente."
"118","La Gaceta de Panamá","Panamá","América Central e Caribe","https://www.lagacetadepanama.com/rss/","error","http_403","2026-09-14 22:29:33.839963+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"142","Soy502","Guatemala","América Central e Caribe","https://www.soy502.com/rss.xml","error","invalid_or_malformed_feed","2026-09-14 22:29:34.425049+00","xml_invalido","Inspecionar XML/resposta e endpoint oficial; validar tecnicamente e editorialmente antes de corrigir URL."
"207","Silicon Republic","Irlanda","Europa Ocidental","https://www.siliconrepublic.com/feed/","error","http_403","2026-09-14 22:29:35.010716+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"227","AIN","Ucrânia","Europa Oriental (Leste Europeu)","https://ain.ua/feed/","error","http_403","2026-09-14 22:29:35.596315+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"262","Keddr","Ucrânia","Europa Oriental (Leste Europeu)","https://keddr.com/feed/","error","http_403","2026-09-14 22:29:36.181729+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"264","Kursors.lv","Letônia","Europa Oriental (Leste Europeu)","https://kursors.lv/feed/","error","http_403","2026-09-14 22:29:37.03083+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"284","Rozetked","Rússia","Europa Oriental (Leste Europeu)","https://rozetked.me/rss.xml","error","ChunkedEncodingError","2026-09-14 22:29:38.069968+00","temporario_rede_ou_servidor","Retentar pelo coletor com backoff e preservar checkpoints; confirmar recorrência antes de alterar URL."
"301","36Kr","China","Ásia (Leste Asiático e Sudeste Asiático)","https://36kr.com/feed","error","invalid_or_malformed_feed","2026-09-14 22:29:38.654899+00","xml_invalido","Inspecionar XML/resposta e endpoint oficial; validar tecnicamente e editorialmente antes de corrigir URL."
"363","TechWeb","China","Ásia (Leste Asiático e Sudeste Asiático)","https://www.techweb.com.cn/rss/all.xml","error","non_public_destination","2026-09-14 22:29:39.240306+00","bloqueio_seguranca_destino","Inspecionar DNS/redirecionamento público oficial; manter proteção contra destino não público."
"377","Arab News — Science & Technology","Arábia Saudita","Oriente Médio","https://www.arabnews.com/taxonomy/term/46/all/feed","error","http_403","2026-09-14 22:29:39.825128+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"394","Enterprise Channels MEA","Emirados Árabes Unidos","Oriente Médio","https://www.ec-mea.com/feed/","error","SSLError","2026-09-14 22:29:40.410199+00","tls","Verificar certificado e endpoint oficial; não desativar validação TLS."
"439","The National — Technology","Emirados Árabes Unidos","Oriente Médio","https://www.thenationalnews.com/arc/outboundfeeds/rss/category/business/technology/?outputType=xml","error","invalid_empty_feed_or_entries","2026-09-14 22:29:40.996252+00","feed_vazio","Verificar categoria e itens oferecidos; feed vazio não prova veículo inativo."
"440","Times of Israel — Tech Israel","Israel","Oriente Médio","https://www.timesofisrael.com/topic/tech-israel/feed/","error","http_403","2026-09-14 22:29:41.581765+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"484","PC Tech Magazine","Uganda","África","https://pctechmag.com/feed/","error","http_403","2026-09-14 22:29:42.344196+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"494","Techawk","Nigéria","África","https://www.techawkng.com/feed/","error","http_403","2026-09-14 22:29:42.929298+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"497","TechCabal","Nigéria","África","https://techcabal.com/feed/","error","http_403","2026-09-14 22:29:43.514449+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"513","TechWeez","Quênia","África","https://techweez.com/feed/","error","http_403","2026-09-14 22:29:44.099725+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"527","APDR","Austrália","Oceania","https://asiapacificdefencereporter.com/feed/","error","http_403","2026-09-14 22:29:44.685021+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"539","Cook Islands News","Ilhas Cook","Oceania","https://www.cookislandsnews.com/feed/","error","http_403","2026-09-14 22:29:45.270381+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"573","PowerUp!","Austrália","Oceania","https://powerup-gaming.com/feed/","error","http_403","2026-09-14 22:29:45.855618+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"597","The National PNG","Papua-Nova Guiné","Oceania","https://www.thenational.com.pg/feed/","error","http_403","2026-09-14 22:29:46.441138+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"675","Techstrong AI","Estados Unidos","América do Norte","https://techstrong.ai/feed/","error","http_403","2026-09-14 22:29:47.222743+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"985","Click","Irã","Oriente Médio","https://www.click.ir/feeds","error","http_404","2026-09-14 22:29:48.200295+00","endpoint_http_404_410","Investigar RSS oficial equivalente do mesmo veículo e testar antes de alterar; não recomendar reposição definitiva."
"1206","Adrenaline","Brasil","América do Sul","https://www.adrenaline.com.br/feed/","error","http_403","2026-09-14 22:29:48.786091+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"1225","IT Forum","Brasil","América do Sul","https://itforum.com.br/feed/","error","http_403","2026-09-14 22:29:49.371934+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
"1229","TI Inside","Brasil","América do Sul","https://tiinside.com.br/feed/","error","http_403","2026-09-14 22:29:49.957543+00","bloqueio_http","Verificar política e endpoint público oficial permitido; não contornar nem substituir sem validação editorial."
