"id","veiculo","pais","regiao","rss_url","erro_original","horario","classificacao","acao_recomendada","janela"
"9","BigDATAwire","Estados Unidos","América do Norte","https://www.bigdatawire.com/feed/","http_403","2026-09-14T11:54:28.121652+00:00","bloqueio_http","Verificar acesso permitido, resposta e endpoint oficial; não contornar bloqueios. Validar alternativa antes de recomendar troca.","2026-09-14T09:00:00+00:00"
"27","Digital Trends","Estados Unidos","América do Norte","https://www.digitaltrends.com/feed/","invalid_or_malformed_feed","2026-09-14T11:54:28.561655+00:00","xml_ou_resposta_invalida_a_confirmar","Capturar status, Content-Type e corpo; distinguir XML malformado de HTML/bloqueio e falha do parser. Validar RSS oficial.","2026-09-14T09:00:00+00:00"
"36","HPCwire","Estados Unidos","América do Norte","https://www.hpcwire.com/feed/","http_403","2026-09-14T11:54:29.015363+00:00","bloqueio_http","Verificar acesso permitido, resposta e endpoint oficial; não contornar bloqueios. Validar alternativa antes de recomendar troca.","2026-09-14T09:00:00+00:00"
"52","RCR Wireless News","Estados Unidos","América do Norte","https://rcrwireless.com/feed","http_403","2026-09-14T11:54:29.454241+00:00","bloqueio_http","Verificar acesso permitido, resposta e endpoint oficial; não contornar bloqueios. Validar alternativa antes de recomendar troca.","2026-09-14T09:00:00+00:00"
"53","SC Media","Estados Unidos","América do Norte","https://www.scworld.com/feed","invalid_or_malformed_feed","2026-09-14T11:54:29.893209+00:00","xml_ou_resposta_invalida_a_confirmar","Capturar status, Content-Type e corpo; distinguir XML malformado de HTML/bloqueio e falha do parser. Validar RSS oficial.","2026-09-14T09:00:00+00:00"
"72","VentureBeat","Estados Unidos","América do Norte","https://venturebeat.com/feed","http_429","2026-09-14T11:54:30.331678+00:00","temporaria_rede_http","Retestar com intervalo/backoff e registrar HTTP/DNS; sem reposição definitiva com base nesta tentativa.","2026-09-14T09:00:00+00:00"
"75","ZDNET","Estados Unidos","América do Norte","https://www.zdnet.com/news/rss.xml","http_404","2026-09-14T11:54:30.916411+00:00","endpoint_http_a_validar","Verificar URL oficial, redirecionamentos e status em novo teste; só recomendar substituição após validação.","2026-09-14T09:00:00+00:00"
"76","100% Noticias","Nicaragua","América Central e Caribe","https://100noticias.com.ni/rss/","gaierror","2026-09-14T11:54:31.374117+00:00","temporaria_rede_http","Retestar com intervalo/backoff e registrar HTTP/DNS; sem reposição definitiva com base nesta tentativa.","2026-09-14T09:00:00+00:00"
"77","Artículo 66","Nicaragua","América Central e Caribe","https://www.articulo66.com/feed/","http_403","2026-09-14T11:54:31.965861+00:00","bloqueio_http","Verificar acesso permitido, resposta e endpoint oficial; não contornar bloqueios. Validar alternativa antes de recomendar troca.","2026-09-14T09:00:00+00:00"
"84","CRHoy","Costa Rica","América Central e Caribe","https://www.crhoy.com/tecnologia/feed/","http_404","2026-09-14T11:54:33.350345+00:00","endpoint_http_a_validar","Verificar URL oficial, redirecionamentos e status em novo teste; só recomendar substituição após validação.","2026-09-14T09:00:00+00:00"
"87","Diario El Mundo","El Salvador","América Central e Caribe","https://diario.elmundo.sv/rss/tecnologia.xml","invalid_or_malformed_feed","2026-09-14T11:54:33.78846+00:00","xml_ou_resposta_invalida_a_confirmar","Capturar status, Content-Type e corpo; distinguir XML malformado de HTML/bloqueio e falha do parser. Validar RSS oficial.","2026-09-14T09:00:00+00:00"
"90","Diario Tiempo","Honduras","América Central e Caribe","https://tiempo.hn/feed/","http_403","2026-09-14T11:54:34.226651+00:00","bloqueio_http","Verificar acesso permitido, resposta e endpoint oficial; não contornar bloqueios. Validar alternativa antes de recomendar troca.","2026-09-14T09:00:00+00:00"
