id,veiculo,pais,regiao,rss_url,erro_original,horario,classificacao,acao_recomendada
"9","BigDATAwire","Estados Unidos","América do Norte","https://www.bigdatawire.com/feed/","http_403","2026-09-14 07:08:12 BRT","bloqueio HTTP ou política de acesso","validar no navegador e testar headers/URL oficial; não repor sem validação"
"27","Digital Trends","Estados Unidos","América do Norte","https://www.digitaltrends.com/feed/","AttributeError","2026-09-14 07:08:12 BRT","erro interno do coletor","corrigir/instrumentar o coletor e repetir; não substituir o feed"
"36","HPCwire","Estados Unidos","América do Norte","https://www.hpcwire.com/feed/","http_403","2026-09-14 07:08:13 BRT","bloqueio HTTP ou política de acesso","validar no navegador e testar headers/URL oficial; não repor sem validação"
"52","RCR Wireless News","Estados Unidos","América do Norte","https://rcrwireless.com/feed","http_403","2026-09-14 07:08:13 BRT","bloqueio HTTP ou política de acesso","validar no navegador e testar headers/URL oficial; não repor sem validação"
"53","SC Media","Estados Unidos","América do Norte","https://www.scworld.com/feed","invalid_or_malformed_feed","2026-09-14 07:08:14 BRT","XML inválido ou resposta não reconhecida como feed","validar conteúdo e Content-Type; testar URL canônica antes de considerar reposição"
"72","VentureBeat","Estados Unidos","América do Norte","https://venturebeat.com/feed","http_429","2026-09-14 07:08:14 BRT","bloqueio HTTP ou política de acesso","repetir com backoff e menor concorrência"
"75","ZDNET","Estados Unidos","América do Norte","https://www.zdnet.com/news/rss.xml","http_404","2026-09-14 07:08:15 BRT","endpoint RSS não encontrado","confirmar mudança do endpoint no site oficial; só então corrigir ou substituir"
"76","100% Noticias","Nicaragua","América Central e Caribe","https://100noticias.com.ni/rss/","gaierror","2026-09-14 07:08:16 BRT","falha temporária de rede/servidor","repetir em janela posterior; validar manualmente apenas se persistir"
"77","Artículo 66","Nicaragua","América Central e Caribe","https://www.articulo66.com/feed/","http_403","2026-09-14 07:08:16 BRT","bloqueio HTTP ou política de acesso","validar no navegador e testar headers/URL oficial; não repor sem validação"
"84","CRHoy","Costa Rica","América Central e Caribe","https://www.crhoy.com/tecnologia/feed/","http_404","2026-09-14 07:08:17 BRT","endpoint RSS não encontrado","confirmar mudança do endpoint no site oficial; só então corrigir ou substituir"
"87","Diario El Mundo","El Salvador","América Central e Caribe","https://diario.elmundo.sv/rss/tecnologia.xml","invalid_or_malformed_feed","2026-09-14 07:08:18 BRT","XML inválido ou resposta não reconhecida como feed","validar conteúdo e Content-Type; testar URL canônica antes de considerar reposição"
"90","Diario Tiempo","Honduras","América Central e Caribe","https://tiempo.hn/feed/","http_403","2026-09-14 07:08:18 BRT","bloqueio HTTP ou política de acesso","validar no navegador e testar headers/URL oficial; não repor sem validação"
"93","Eco TV","Panamá","América Central e Caribe","https://www.ecotvpanama.com/rss/pages/tecnologia.xml","AttributeError","2026-09-14 07:08:19 BRT","erro interno do coletor","corrigir/instrumentar o coletor e repetir; não substituir o feed"
"94","El Caribe","República Dominicana","América Central e Caribe","https://www.elcaribe.com.do/web-stories/feed/","http_403","2026-09-14 07:08:20 BRT","bloqueio HTTP ou política de acesso","validar no navegador e testar headers/URL oficial; não repor sem validação"
"95","El Diario de Hoy","El Salvador","América Central e Caribe","https://www.elsalvador.com/feed/","http_403","2026-09-14 07:08:20 BRT","bloqueio HTTP ou política de acesso","validar no navegador e testar headers/URL oficial; não repor sem validação"
"97","El Economista Centroamérica","El Salvador","América Central e Caribe","https://www.eleconomista.net/rss.xml","http_403","2026-09-14 07:08:21 BRT","bloqueio HTTP ou política de acesso","validar no navegador e testar headers/URL oficial; não repor sem validação"
"99","El Heraldo Honduras","Honduras","América Central e Caribe","https://www.elheraldo.hn/rss/tecnologia.xml","http_404","2026-09-14 07:08:22 BRT","endpoint RSS não encontrado","confirmar mudança do endpoint no site oficial; só então corrigir ou substituir"
"105","En Segundos Panamá","Panamá","América Central e Caribe","https://ensegundos.com.pa/feed/","ContentDecodingError","2026-09-14 07:08:23 BRT","falha temporária de rede/servidor","repetir em janela posterior; validar manualmente apenas se persistir"
"107","Estrategia & Negocios","Honduras","América Central e Caribe","https://www.estrategiaynegocios.net/rss.xml","SSLError","2026-09-14 07:08:23 BRT","falha temporária de rede/servidor","repetir em janela posterior; validar manualmente apenas se persistir"
"116","Juventud Técnica","Cuba","América Central e Caribe","https://www.juventudtecnica.cu/feed/","invalid_or_malformed_feed","2026-09-14 07:08:24 BRT","XML inválido ou resposta não reconhecida como feed","validar conteúdo e Content-Type; testar URL canônica antes de considerar reposição"
"117","La Estrella de Panamá","Panamá","América Central e Caribe","https://www.laestrella.com.pa/rss.xml","http_404","2026-09-14 07:08:24 BRT","endpoint RSS não encontrado","confirmar mudança do endpoint no site oficial; só então corrigir ou substituir"
"118","La Gaceta de Panamá","Panamá","América Central e Caribe","https://www.lagacetadepanama.com/rss/","http_403","2026-09-14 07:08:25 BRT","bloqueio HTTP ou política de acesso","validar no navegador e testar headers/URL oficial; não repor sem validação"
"120","La Prensa Gráfica","El Salvador","América Central e Caribe","https://www.laprensagrafica.com/rss/tecnologia.xml","http_403","2026-09-14 07:08:25 BRT","bloqueio HTTP ou política de acesso","validar no navegador e testar headers/URL oficial; não repor sem validação"
